Ürün Adı,Fiyat,Bellek Boyutu,Artırılmış (OC) Frekans,Teknik Puan,Link
Gigabyte GV-N730D3-2GI,1359.9,2 GB,-,21,https://www.epey.com/ekran-karti/gigabyte-gv-n730d3-2gi.html
Biostar GeForce GT 730 DDR3 4GB,1116.48,4 GB,-,21,https://www.epey.com/ekran-karti/biostar-geforce-gt-730-ddr3-4gb.html
MSI GeForce GT 730 2GB DDR3,987.25,2 GB,-,21,https://www.epey.com/ekran-karti/msi-geforce-gt-730-2gb-ddr3.html
Asus GeForce GT 730 2GD3,907.0,2 GB,-,21,https://www.epey.com/ekran-karti/asus-gt-730-2gd3.html
Arktek GeForce GT 730 2GB 128bit LP,1929.04,2 GB,-,21,https://www.epey.com/ekran-karti/arktek-geforce-gt-730-2gb-128bit-lp.html
Turbox Venus Saga GT730LP 4 GB,820.0,4 GB,-,20,https://www.epey.com/ekran-karti/turbox-venus-saga-gt730lp-4-gb.html
Asus GeForce GT 730 V2,969.3,2 GB,-,20,https://www.epey.com/ekran-karti/asus-geforce-gt-730-v2-gt730-2gd3-v2.html
Turbox Radeon R5 230 2GB 64bit DDR3,425.0,2 GB,950 MHz,20,https://www.epey.com/ekran-karti/turbox-radeon-r5-230-2gb-64bit-ddr3.html
MSI GeForce GT 710 1GD3H LP,541.46,1 GB,-,20,https://www.epey.com/ekran-karti/msi-geforce-gt-710-1gd3h-lp.html
Seclife GeForce GT 730 2GB,668.03,2 GB,-,20,https://www.epey.com/ekran-karti/seclife-geforce-gt-730-2gb.html
Afox GeForce 210 1GB,499.0,1 GB,1230 MHz,20,https://www.epey.com/ekran-karti/afox-geforce-210-1gb.html
Powergate GeForce GT 730 4GB,870.0,4 GB,-,20,https://www.epey.com/ekran-karti/powergate-geforce-gt-730-4gb.html
Powergate GeForce GT 730 2GB,826.76,2 GB,-,20,https://www.epey.com/ekran-karti/powergate-geforce-gt-730-2gb.html
Quadro GeForce GT 730 2GD3L,953.95,2 GB,-,20,https://www.epey.com/ekran-karti/quadro-geforce-gt-730-2gd3l.html
Palit GeForce GT 730 64-bit 2GB DDR3,1250.0,2 GB,-,20,https://www.epey.com/ekran-karti/palit-geforce-gt-730-64-bit-2gb-ddr3.html
Powergate GeForce GT 210 1GB GDDR3,388.8,1 GB,1230 MHz,19,https://www.epey.com/ekran-karti/powergate-geforce-gt-210-1gb-gddr3.html
Asus GeForce GT 710,501.3,1 GB,-,19,https://www.epey.com/ekran-karti/asus-geforce-gt-710-gt710-sl-1gd5.html
Afox GeForce GT 730 2GB,599.0,2 GB,-,19,https://www.epey.com/ekran-karti/afox-geforce-gt-730-2gb.html
Afox GeForce 210,403.0,1 GB,1230 MHz,19,https://www.epey.com/ekran-karti/afox-geforce-210.html
Afox Radeon R5 230 2G,377.28,2 GB,-,19,https://www.epey.com/ekran-karti/afox-radeon-r5-230-2g.html
Asboard GeForce GT 420 2GB DDR3 128bit,990.0,2 GB,-,19,https://www.epey.com/ekran-karti/asboard-geforce-gt-420-2gb-ddr3-128bit.html
Afox GeForce GT 420,578.04,2 GB,-,19,https://www.epey.com/ekran-karti/afox-geforce-gt-420.html
Arktek Radeon R5 230 2GB 64bit,1929.04,2 GB,-,19,https://www.epey.com/ekran-karti/arktek-radeon-r5-230-2gb-64bit.html
Seclife GeForce GT 420 2GB,854.8,2 GB,-,19,https://www.epey.com/ekran-karti/seclife-geforce-gt-420-2gb.html
