Ürün Adı,Fiyat,Etkin Piksel,Video Çözünürlüğü,Çıkış Yılı,Teknik Puan,Link
Canon EOS 6D Mark II,13063.08,26 MP,Full HD,2017 ,81,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-6d-mark-ii.html
Sony a6400 18-135mm,17944.0,24 MP,Ultra HD,2019 ,79,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6400-18-135mm.html
Sony a6400 16-50mm,12499.0,24 MP,Ultra HD,2019 ,79,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6400-16-50mm.html
Canon EOS 90D 18-135mm,15044.0,32 MP,Ultra HD,2019 ,79,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-90d-18-135mm.html
Sony DSC-RX100 VII,13805.0,20 MP,Ultra HD,2019 ,79,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-rx100-vii.html
Panasonic Lumix ZS200,,20 MP,Ultra HD,2018 ,64,https://www.epey.com/kompakt-fotograf-makinesi/panasonic-lumix-zs200.html
Fujifilm X-T20 18-55mm,,24 MP,Ultra HD,2017 ,63,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t20-18-55mm.html
Sony A7S,,12 MP,Full HD,2014 ,63,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a7s.html
Fujifilm X-T20 23mm,,24 MP,Ultra HD,2017 ,63,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t20-23mm.html
Fujifilm X-T20 35mm,,24 MP,Ultra HD,2017 ,63,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t20-35mm.html
Fujifilm X-T20 56mm,,24 MP,Ultra HD,2017 ,63,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t20-56mm.html
Fujifilm X-T20,,24 MP,Ultra HD,2017 ,63,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t20.html
Olympus PEN E-PL10,,16 MP,Ultra HD,2020 ,63,https://www.epey.com/aynasiz-fotograf-makinesi/olympus-pen-e-pl10.html
Panasonic Lumix DC-TS7,,20 MP,Ultra HD,2018 ,63,https://www.epey.com/kompakt-fotograf-makinesi/panasonic-lumix-dc-ts7.html
Sony DSC-RX10 II,,20 MP,Ultra HD,2016 ,63,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-rx10-ii.html
Canon EOS M5 18-55mm,,24 MP,Full HD,2016 ,62,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m5-18-55mm.html
Canon EOS M5 18-150mm,,24 MP,Full HD,2016 ,61,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m5-18-150mm.html
