Ürün Adı,Fiyat,Yonga Seti Modeli,İşlemci Soketi,Bellek Teknolojisi,Bellek Saat Hızı (OC),Teknik Puan,Link
Asus Prime H570M-Plus,1262.03,Intel H570,LGA 1200,DDR4,4600 MHz,61,https://www.epey.com/anakart/asus-prime-h570m-plus.html
MSI MAG B460M Mortar WiFi,1037.0,Intel B460,LGA 1200,DDR4,2933 MHz,60,https://www.epey.com/anakart/msi-mag-b460m-mortar-wifi.html
Asus Prime H570-Plus,1197.8,Intel H570,LGA 1200,DDR4,4600 MHz,60,https://www.epey.com/anakart/asus-prime-h570-plus.html
Asus Prime B560-Plus,1151.04,Intel B560,LGA 1200,DDR4,4600 MHz,60,https://www.epey.com/anakart/asus-prime-b560-plus.html
MSI MPG B560I Gaming Edge WiFi,2208.03,Intel B560,LGA 1200,DDR4,5200 MHz,60,https://www.epey.com/anakart/msi-mpg-b560i-gaming-edge-wifi.html
Asus TUF Gaming B460-Pro (Wi-Fi),1930.0,Intel B460,LGA 1200,DDR4,2933 MHz,60,https://www.epey.com/anakart/asus-tuf-gaming-b460-pro-wi-fi.html
Asus TUF Gaming B460M-Plus (Wi-Fi),1385.81,Intel B460,LGA 1200,DDR4,2933 MHz,60,https://www.epey.com/anakart/asus-tuf-gaming-b460m-plus-wi-fi.html
Asus Prime B550M-K,736.36,AMD B550,AM4,DDR4,4400 MHz,60,https://www.epey.com/anakart/asus-prime-b550m-k.html
Gigabyte B450 Gaming X,734.4,AMD B450,AM4,DDR4,2933 MHz,59,https://www.epey.com/anakart/gigabyte-b450-gaming-x.html
Asus Prime B450M-A II,725.99,AMD B450,AM4,DDR4,4400 MHz,59,https://www.epey.com/anakart/asus-prime-b450m-a-ii.html
Gigabyte B450M DS3H,801.0,AMD B450,AM4,DDR4,3200 MHz,59,https://www.epey.com/anakart/gigabyte-b450m-ds3h.html
Gigabyte Z590 UD,2199.0,Intel Z590,LGA 1200,DDR4,3200 MHz,59,https://www.epey.com/anakart/gigabyte-z590-ud.html
MSI MAG B460 Tomahawk,1149.0,Intel B460,LGA 1200,DDR4,2933 MHz,59,https://www.epey.com/anakart/msi-mag-b460-tomahawk.html
Asus TUF Gaming A520M Plus,757.64,AMD A520,AM4,DDR4,4800 MHz,59,https://www.epey.com/anakart/asus-tuf-gaming-a520m-plus.html
MSI MAG B560M Bazooka,1159.0,Intel B560,LGA 1200,DDR4,5066 MHz,59,https://www.epey.com/anakart/msi-mag-b560m-bazooka.html
Asus ROG Strix B460-F Gaming,2023.51,Intel B460,LGA 1200,DDR4,2933 MHz,59,https://www.epey.com/anakart/asus-rog-strix-b460-f-gaming.html
MSI B450M Pro-VDH Max,506.73,AMD B450,AM4,DDR4,3866 MHz,59,https://www.epey.com/anakart/msi-b450m-pro-vdh-max.html
ASRock A520M-ITX/ac,1335.67,AMD A520,AM4,DDR4,4733 MHz,59,https://www.epey.com/anakart/asrock-a520m-itx-ac.html
MSI B560M PRO-VDH,1413.85,Intel B560,LGA 1200,DDR4,5066 MHz,58,https://www.epey.com/anakart/msi-b560m-pro-vdh.html
Asus TUF Gaming B550M-E WiFi,1439.54,AMD B550,AM4,DDR4,4800 MHz,68,https://www.epey.com/anakart/asus-tuf-gaming-b550m-e-wifi.html
MSI MEG Z490I Unify,2122.88,Intel Z490,LGA 1200,DDR4,5000 MHz,68,https://www.epey.com/anakart/msi-meg-z490i-unify.html
MSI MPG B550I Gaming Edge WiFi,2575.0,AMD B550,AM4,DDR4,4600 MHz,68,https://www.epey.com/anakart/msi-mpg-b550i-gaming-edge-wifi.html
Asus Prime X570-P,1439.04,AMD X570,AM4,DDR4,4400 MHz,68,https://www.epey.com/anakart/asus-prime-x570-p.html
Asus ROG Strix B560-A Gaming WiFi,2107.56,Intel B560,LGA 1200,DDR4,5000 MHz,68,https://www.epey.com/anakart/asus-rog-strix-b560-a-gaming-wifi.html
Asus Prime B550-Plus,1294.62,AMD B550,AM4,DDR4,4600 MHz,68,https://www.epey.com/anakart/asus-prime-b550-plus.html
Asus ROG Maximus XI Hero,4939.0,Intel Z390,LGA 1151,DDR4,4400 MHz,68,https://www.epey.com/anakart/asus-rog-maximus-xi-hero.html
MSI B550-A Pro,1149.0,AMD B550,AM4,DDR4,4400 MHz,68,https://www.epey.com/anakart/msi-b550-a-pro.html
MSI Z590 Plus,1369.0,Intel Z590,LGA 1200,DDR4,5333 MHz,68,https://www.epey.com/anakart/msi-z590-plus.html
Gigabyte X570 Aorus Elite,2239.0,AMD X570,AM4,DDR4,4000 MHz,68,https://www.epey.com/anakart/gigabyte-x570-aorus-elite.html
Asus TUF Gaming B560-Plus WiFi,1879.03,Intel B560,LGA 1200,DDR4,5000 MHz,67,https://www.epey.com/anakart/asus-tuf-gaming-b560-plus-wifi.html
MSI B550M Pro-VDH WiFi,1170.24,AMD B550,AM4,DDR4,4400 MHz,67,https://www.epey.com/anakart/msi-b550m-pro-vdh-wifi.html
Gigabyte Z590 Gaming X,2449.0,Intel Z590,LGA 1200,DDR4,3200 MHz,67,https://www.epey.com/anakart/gigabyte-z590-gaming-x.html
Gigabyte Z490I Aorus Ultra,3021.95,Intel Z490,LGA 1200,DDR4,3200 MHz,67,https://www.epey.com/anakart/gigabyte-z490i-aorus-ultra.html
Biostar Racing Z490GTA Evo,2339.0,Intel Z490,LGA 1200,DDR4,4400 MHz,67,https://www.epey.com/anakart/biostar-racing-z490gta-evo.html
MSI X570-A PRO,1099.0,AMD X570,AM4,DDR4,4400 MHz,67,https://www.epey.com/anakart/msi-x570-a-pro.html
MSI B450M Mortar Max,613.44,AMD B450,AM4,DDR4,4133 MHz,67,https://www.epey.com/anakart/msi-b450m-mortar-max.html
Gigabyte B550 Gaming X,1400.64,AMD B550,AM4,DDR4,4733 MHz,67,https://www.epey.com/anakart/gigabyte-b550-gaming-x.html
MSI MAG B560 Tomahawk WiFi,1343.04,Intel B560,LGA 1200,DDR4,5066 MHz,67,https://www.epey.com/anakart/msi-mag-b560-tomahawk-wifi.html
Biostar B550GTA,2879.94,AMD B550,AM4,DDR4,4933 MHz,67,https://www.epey.com/anakart/biostar-b550gta.html
MSI B450 Gaming Pro Carbon Max WiFi,2039.99,AMD B450,AM4,DDR4,4133 MHz,67,https://www.epey.com/anakart/msi-b450-gaming-pro-carbon-max-wifi.html
MSI MPG Z390 Gaming Plus,1151.04,Intel Z390,LGA 1151,DDR4,4400 MHz,67,https://www.epey.com/anakart/msi-mpg-z390-gaming-plus.html
MSI B450 TomaHawk Max,778.0,AMD B450,AM4,DDR4,4133 MHz,67,https://www.epey.com/anakart/msi-b450-tomahawk-max.html
Asus TUF Gaming B450M-Plus II,819.0,AMD B450,AM4,DDR4,4400 MHz,67,https://www.epey.com/anakart/asus-tuf-gaming-b450m-plus-ii.html
Asus ROG Crosshair VII Hero,5521.71,AMD X470,AM4,DDR4,3466 MHz,66,https://www.epey.com/anakart/asus-rog-crosshair-vii-hero.html
ASRock X570 Phantom Gaming 4,1550.84,AMD X570,AM4,DDR4,4066 MHz,66,https://www.epey.com/anakart/asrock-x570-phantom-gaming-4.html
Biostar Racing Z490GTA,1890.5,Intel Z490,LGA 1200,DDR4,4400 MHz,66,https://www.epey.com/anakart/biostar-racing-z490gta.html
Asus Prime Z490M-Plus,1339.2,Intel Z490,LGA 1200,DDR4,4400 MHz,66,https://www.epey.com/anakart/asus-prime-z490m-plus.html
MSI MPG X570 Gaming Plus,1739.9,AMD X570,AM4,DDR4,4400 MHz,66,https://www.epey.com/anakart/msi-mpg-x570-gaming-plus.html
Huananzhi X99-F8D,2199.9,Intel X99,LGA 2011-3,DDR4,2400 MHz,66,https://www.epey.com/anakart/huananzhi-x99-f8d.html
Gigabyte X470 Aorus Gaming 7 WiFi,3154.58,AMD X470,AM4,DDR4,3600 MHz,66,https://www.epey.com/anakart/gigabyte-x470-aorus-gaming-7-wifi.html
Asus TUF Gaming B560M-Plus WiFi,1782.0,Intel B560,LGA 1200,DDR4,5000 MHz,66,https://www.epey.com/anakart/asus-tuf-gaming-b560m-plus-wifi.html
ASRock Z490M-ITX/ac,1999.0,Intel Z490,LGA 1200,DDR4,4400 MHz,66,https://www.epey.com/anakart/asrock-z490m-itx-ac.html
Asus Prime Z490-P,4430.64,Intel Z490,LGA 1200,DDR4,4600 MHz,66,https://www.epey.com/anakart/asus-prime-z490-p.html
Asus ROG Maximus X Code,4339.0,Intel Z370,LGA 1151,DDR4,4133 MHz,66,https://www.epey.com/anakart/asus-rog-maximus-x-code.html
Gigabyte Z590I Aorus Ultra,3182.9,Intel Z590,LGA 1200,DDR4,3200 MHz,66,https://www.epey.com/anakart/gigabyte-z590i-aorus-ultra.html
Gigabyte Z490 Aorus Elite,1979.01,Intel Z490,LGA 1200,DDR4,3200 MHz,66,https://www.epey.com/anakart/gigabyte-z490-aorus-elite.html
MSI Z370 Gaming PRO Carbon AC,2999.0,Intel Z370,LGA 1151,DDR4,4000 MHz,66,https://www.epey.com/anakart/msi-z370-gaming-pro-carbon-ac.html
ASRock B550M-ITX/ac,1979.0,AMD B550,AM4,DDR4,4733 MHz,66,https://www.epey.com/anakart/asrock-b550m-itx-ac.html
Asus TUF Gaming Z590-Plus WiFi,1979.01,Intel Z590,LGA 1200,DDR4,5133 MHz,78,https://www.epey.com/anakart/asus-tuf-gaming-z590-plus-wifi.html
Gigabyte Z590 Aorus Ultra,3125.11,Intel Z590,LGA 1200,DDR4,5400 MHz,78,https://www.epey.com/anakart/gigabyte-z590-aorus-ultra.html
Asus TUF Gaming B550-Plus (Wi-Fi),1727.04,AMD B550,AM4,DDR4,4800 MHz,77,https://www.epey.com/anakart/asus-tuf-gaming-b550-plus-wi-fi.html
Asus Prime Z690-A,4163.88,Intel Z690,LGA1700,DDR5,6000 MHz,77,https://www.epey.com/anakart/asus-prime-z690-a.html
Asus ProArt X570 Creator WiFi,4826.88,AMD X570,AM4,DDR4,5100 MHz,77,https://www.epey.com/anakart/asus-proart-x570-creator-wifi.html
Asus ROG Strix B550-E Gaming,2480.66,AMD B550,AM4,DDR4,4400 MHz,77,https://www.epey.com/anakart/asus-rog-strix-b550-e-gaming.html
Asus WS X299 Sage,5715.92,Intel X299,LGA 2066,DDR4,4200 MHz,77,https://www.epey.com/anakart/asus-ws-x299-sage.html
MSI MEG X570 Unify,3576.2,AMD X570,AM4,DDR4,4600 MHz,77,https://www.epey.com/anakart/msi-meg-x570-unify.html
Asus WS X299 PRO/SE,5764.75,Intel X299,LGA 2066,DDR4,4133 MHz,77,https://www.epey.com/anakart/asus-ws-x299-pro-se.html
Asus ROG Strix Z490-E Gaming,3139.0,Intel Z490,LGA 1200,DDR4,4600 MHz,77,https://www.epey.com/anakart/asus-rog-strix-z490-e-gaming.html
Asus ROG Strix B550-F Gaming (Wi-Fi),2206.67,AMD B550,AM4,DDR4,4400 MHz,77,https://www.epey.com/anakart/asus-rog-strix-b550-f-gaming-wi-fi.html
Asus WS X299 Pro,5384.78,Intel X299,LGA 2066,DDR4,4133 MHz,77,https://www.epey.com/anakart/asus-ws-x299-pro.html
MSI MEG X570 Godlike,8999.0,AMD X570,AM4,DDR4,4800 MHz,77,https://www.epey.com/anakart/msi-meg-x570-godlike.html
MSI MEG X570 Ace,4594.4,AMD X570,AM4,DDR4,4600 MHz,77,https://www.epey.com/anakart/msi-meg-x570-ace.html
MSI MPG B550 Gaming Carbon WiFi,1699.0,AMD B550,AM4,DDR4,4866 MHz,76,https://www.epey.com/anakart/msi-mpg-b550-gaming-carbon-wifi.html
MSI MAG Z590 Tomahawk WiFi,2804.57,Intel Z590,LGA 1200,DDR4,5333 MHz,76,https://www.epey.com/anakart/msi-mag-z590-tomahawk-wifi.html
MSI MPG Z490 Carbon Ek X,2914.48,Intel Z490,LGA 1200,DDR4,5000 MHz,76,https://www.epey.com/anakart/msi-mpg-z490-carbon-ek-x.html
MSI MEG Z490 Unify,4960.36,Intel Z490,LGA 1200,DDR4,4800 MHz,76,https://www.epey.com/anakart/msi-meg-z490-unify.html
Gigabyte Z490 VISION D,4824.04,Intel Z490,LGA 1200,DDR4,4400 MHz,76,https://www.epey.com/anakart/gigabyte-z490-vision-d.html
Asus TUF Gaming X570-Plus Wi-Fi,2034.66,AMD X570,AM4,DDR4,4400 MHz,76,https://www.epey.com/anakart/asus-tuf-gaming-x570-plus-wi-fi.html
MSI MPG Z590 Gaming Edge WiFi,2276.01,Intel Z590,LGA 1200,DDR4,5333 MHz,76,https://www.epey.com/anakart/msi-mpg-z590-gaming-edge-wifi.html
Asus TUF Gaming B550M-Plus (Wi-Fi),1472.6,AMD B550,AM4,DDR4,4400 MHz,76,https://www.epey.com/anakart/asus-tuf-gaming-b550m-plus-wi-fi.html
Asus ROG Strix X570-E Gaming,4772.64,AMD X570,AM4,DDR4,4400 MHz,75,https://www.epey.com/anakart/asus-rog-strix-x570-e-gaming.html
Asus ROG Strix Z590-A Gaming WiFi,2207.04,Intel Z590,LGA 1200,DDR4,5333 MHz,75,https://www.epey.com/anakart/asus-rog-strix-z590-a-gaming-wifi.html
Asus ROG Strix Z490-G Gaming (Wi-Fi),1938.92,Intel Z490,LGA 1200,DDR4,4600 MHz,75,https://www.epey.com/anakart/asus-rog-strix-z490-g-gaming-wi-fi.html
Asus Prime Z590-P WiFi,2093.99,Intel Z590,LGA 1200,DDR4,5133 MHz,75,https://www.epey.com/anakart/asus-prime-z590-p-wifi.html
MSI MAG X570S Tomahawk Max WiFi,2969.01,AMD X570,AM4,DDR4,5100 MHz,75,https://www.epey.com/anakart/msi-mag-x570s-tomahawk-wifi.html
Gigabyte Z390 AORUS Master,5267.17,Intel Z390,LGA 1151,DDR4,4400 MHz,75,https://www.epey.com/anakart/gigabyte-z390-aorus-master.html
MSI MAG X570 Tomahawk Wi-Fi,2467.2,AMD X570,AM4,DDR4,4600 MHz,75,https://www.epey.com/anakart/msi-mag-x570-tomahawk-wi-fi.html
Asus TUF Gaming Z490-Plus (Wi-Fi),2508.04,Intel Z490,LGA 1200,DDR4,4600 MHz,75,https://www.epey.com/anakart/asus-tuf-gaming-z490-plus-wi-fi.html
MSI MPG Z490 Gaming Carbon WiFi,2653.75,Intel Z490,LGA 1200,DDR4,4800 MHz,75,https://www.epey.com/anakart/msi-mpg-z490-gaming-carbon-wifi.html
MSI MPG Z490M Gaming Edge WiFi,2775.0,Intel Z490,LGA 1200,DDR4,4800 MHz,75,https://www.epey.com/anakart/msi-mpg-z490m-gaming-edge-wifi.html
MSI MPG Z490 Gaming Edge WiFi,1695.75,Intel Z490,LGA 1200,DDR4,4800 MHz,75,https://www.epey.com/anakart/msi-mpg-z490-gaming-edge-wifi.html
MSI Z590 Pro WiFi,1631.04,Intel Z590,LGA 1200,DDR4,5333 MHz,74,https://www.epey.com/anakart/msi-z590-pro-wifi.html
Gigabyte Z590 Aorus Master,4956.22,Intel Z590,LGA 1200,DDR4,3200 MHz,74,https://www.epey.com/anakart/gigabyte-z590-aorus-master.html
Asus WS C422 Sage/10G,9416.42,Intel C422,LGA 2066,DDR4,2933 MHz,74,https://www.epey.com/anakart/asus-ws-c422-sage-10g.html
Asus ROG Maximus XIII Apex,5771.1,Intel Z590,LGA 1200,DDR4,5333 MHz,74,https://www.epey.com/anakart/asus-rog-maximus-xiii-apex.html
Gigabyte B550 Aorus Pro,2566.2,AMD B550,AM4,DDR4,5400 MHz,74,https://www.epey.com/anakart/gigabyte-b550-aorus-pro.html
MSI X299 SLI Plus,6851.21,Intel X299,LGA 2066,DDR4,4266 MHz,74,https://www.epey.com/anakart/msi-x299-sli-plus.html
Asus TUF Gaming H570-Pro,1638.0,Intel H570,LGA 1200,DDR4,5000 MHz,66,https://www.epey.com/anakart/asus-tuf-gaming-h570-pro.html
MSI Z390-A Pro,1151.04,Intel Z390,LGA 1151,DDR4,4400 MHz,66,https://www.epey.com/anakart/msi-z390-a-pro.html
MSI B450 TomaHawk Max II,1391.04,AMD B450,AM4,DDR4,4133 MHz,65,https://www.epey.com/anakart/msi-b450-tomahawk-max-ii.html
MSI MAG B560M Mortar WiFi,1832.54,Intel B560,LGA 1200,DDR4,5066 MHz,65,https://www.epey.com/anakart/msi-mag-b560m-mortar-wifi.html
Gigabyte Z490 Vision G,2074.99,Intel Z490,LGA 1200,DDR4,3200 MHz,65,https://www.epey.com/anakart/gigabyte-z490-vision-g.html
Gigabyte X570 Gaming X,2203.54,AMD X570,AM4,DDR4,4000 MHz,65,https://www.epey.com/anakart/gigabyte-x570-gaming-x.html
Gigabyte Z490 UD,1992.9,Intel Z490,LGA 1200,DDR4,4500 MHz,65,https://www.epey.com/anakart/gigabyte-z490-ud.html
Asus TUF B450M-Pro Gaming,959.04,AMD B450,AM4,DDR4,3533 MHz,65,https://www.epey.com/anakart/asus-tuf-b450m-pro-gaming.html
Biostar Z590I Valkyrie,2650.91,Intel Z590,LGA 1200,DDR4,5000 MHz,65,https://www.epey.com/anakart/biostar-z590i-valkyrie.html
Huananzhi X99-F8,2065.0,Intel X99,LGA 2011-3,DDR4,2666 MHz,65,https://www.epey.com/anakart/huananzhi-x99-f8.html
ASRock B560M Pro4/ac,1259.52,Intel B560,LGA 1200,DDR4,4800 MHz,65,https://www.epey.com/anakart/asrock-b560m-pro4-ac.html
Gigabyte Z590 Vision G,3506.66,Intel Z590,LGA 1200,DDR4,3200 MHz,65,https://www.epey.com/anakart/gigabyte-z590-vision-g.html
Biostar B550GTQ,1454.03,AMD B550,AM4,DDR4,4933 MHz,65,https://www.epey.com/anakart/biostar-b550gtq.html
Gigabyte B550M Aorus Elite,1266.23,AMD B550,AM4,DDR4,4733 MHz,65,https://www.epey.com/anakart/gigabyte-b550m-aorus-elite.html
MSI MAG B550M Bazooka,1018.98,AMD B550,AM4,DDR4,4400 MHz,65,https://www.epey.com/anakart/msi-mag-b550m-bazooka.html
Gigabyte B450 Aorus Elite V2,940.7,AMD B450,AM4,DDR4,3600 MHz,64,https://www.epey.com/anakart/gigabyte-b450-aorus-elite-v2.html
MSI Z370M Gaming Pro AC,2055.0,Intel Z370,LGA 1151,DDR4,4000 MHz,64,https://www.epey.com/anakart/msi-z370m-gaming-pro-ac.html
ASRock B450 Steel Legend,1247.9,AMD B450,AM4,DDR4,3533 MHz,64,https://www.epey.com/anakart/asrock-b450-steel-legend.html
MSI B450M Bazooka Max WiFi,726.0,AMD B450,AM4,DDR4,4133 MHz,64,https://www.epey.com/anakart/msi-b450m-bazooka-max-wifi.html
Gigabyte B560M Aorus Elite,1630.22,Intel B560,LGA 1200,DDR4,5333 MHz,64,https://www.epey.com/anakart/gigabyte-b560m-aorus-elite.html
Asus TUF B450-Pro Gaming,987.84,AMD B450,AM4,DDR4,3533 MHz,64,https://www.epey.com/anakart/asus-tuf-b450-pro-gaming.html
Asus Prime B550M-A,930.24,AMD B550,AM4,DDR4,4800 MHz,64,https://www.epey.com/anakart/asus-prime-b550m-a.html
Asus TUF Gaming B550M-E,1424.47,AMD B550,AM4,DDR4,4800 MHz,64,https://www.epey.com/anakart/asus-tuf-gaming-b550m-e.html
Asus Prime B550M-A/CSM,1179.0,AMD B550,AM4,DDR4,4800 MHz,64,https://www.epey.com/anakart/asus-prime-b550m-a-csm.html
Asus ROG Strix B560-I Gaming WiFi,1805.0,Intel B560,LGA 1200,DDR4,5333 MHz,64,https://www.epey.com/anakart/asus-rog-strix-b560-i-gaming-wifi.html
MSI B550M PRO-VDH,1016.64,AMD B550,AM4,DDR4,4400 MHz,64,https://www.epey.com/anakart/msi-b550m-pro-vdh.html
Gigabyte B550M DS3H,1170.24,AMD B550,AM4,DDR4,4000 MHz,64,https://www.epey.com/anakart/gigabyte-b550m-ds3h.html
MSI B560M PRO-VDH WiFi,1286.01,Intel B560,LGA 1200,DDR4,5066 MHz,63,https://www.epey.com/anakart/msi-b560m-pro-vdh-wifi.html
ASRock Z590M Phantom Gaming 4,1849.0,Intel Z590,LGA 1200,DDR4,4800 MHz,63,https://www.epey.com/anakart/asrock-z590m-phantom-gaming-4.html
Biostar Racing Z490A-Silver,1904.41,Intel Z490,LGA 1200,DDR4,4400 MHz,63,https://www.epey.com/anakart/biostar-racing-z490a-silver.html
Gigabyte B560M D3H,1200.0,Intel B560,LGA 1200,DDR4,5333 MHz,63,https://www.epey.com/anakart/gigabyte-b560m-d3h.html
MSI MAG B560 Torpedo,2179.0,Intel B560,LGA 1200,DDR4,5066 MHz,63,https://www.epey.com/anakart/msi-mag-b560-torpedo.html
Asus TUF Gaming B560M-Plus,1701.0,Intel B560,LGA 1200,DDR4,5000 MHz,63,https://www.epey.com/anakart/asus-tuf-gaming-b560m-plus.html
Gigabyte Z490 Gaming X,2106.26,Intel Z490,LGA 1200,DDR4,3200 MHz,63,https://www.epey.com/anakart/gigabyte-z490-gaming-x.html
Gigabyte B450 Aorus Elite,1055.99,AMD B450,AM4,DDR4,3200 MHz,63,https://www.epey.com/anakart/gigabyte-b450-aorus-elite.html
MSI B450-A Pro Max,1216.32,AMD B450,AM4,DDR4,4133 MHz,63,https://www.epey.com/anakart/msi-b450-a-pro-max.html
MSI B450 Gaming Plus Max,903.0,AMD B450,AM4,DDR4,4133 MHz,63,https://www.epey.com/anakart/msi-b450-gaming-plus-max.html
MSI X470 Gaming Plus Max,1836.93,AMD X470,AM4,DDR4,4133 MHz,63,https://www.epey.com/anakart/msi-x470-gaming-plus-max.html
Asus TUF B450M-Plus Gaming,955.1,AMD B450,AM4,DDR4,3200 MHz,63,https://www.epey.com/anakart/asus-tuf-b450m-plus.html
Asus Pro B560M-C/CSM,1397.6,Intel B560,LGA 1200,DDR4,4600 MHz,53,https://www.epey.com/anakart/asus-pro-b560m-c-csm.html
MSI B450M Pro-M2 Max,431.04,AMD B450,AM4,DDR4,4133 MHz,53,https://www.epey.com/anakart/msi-b450m-pro-m2-max.html
Asus Prime A520M-A,465.6,AMD A520,AM4,DDR4,4800 MHz,53,https://www.epey.com/anakart/asus-prime-a520m-a.html
MSI B560M-A PRO,744.69,Intel B560,LGA 1200,DDR4,5200 MHz,52,https://www.epey.com/anakart/msi-b560m-a-pro.html
MSI B350M Pro-VDH,1060.8,AMD B350,AM4,DDR4,3200 MHz,52,https://www.epey.com/anakart/msi-b350m-pro-vdh.html
Asus Prime B460M-A,1110.53,Intel B460,LGA 1200,DDR4,2933 MHz,52,https://www.epey.com/anakart/asus-prime-b460m-a.html
Asus WS C246 Pro,3057.77,Intel C246,LGA 1151,DDR4,2666 MHz,52,https://www.epey.com/anakart/asus-ws-c246-pro.html
MSI B550M-A PRO,767.04,AMD B550,AM4,DDR4,4600 MHz,52,https://www.epey.com/anakart/msi-b550m-a-pro.html
Asus Prime B365-Plus,1409.01,Intel B365,LGA 1151,DDR4,2666 MHz,52,https://www.epey.com/anakart/asus-prime-b365-plus.html
Asus ROG Strix B365-F Gaming,2139.0,Intel B365,LGA 1151,DDR4,2666 MHz,52,https://www.epey.com/anakart/asus-rog-strix-b365-f-gaming.html
MSI MAG B460M Bazooka,849.0,Intel B460,LGA 1200,DDR4,2933 MHz,52,https://www.epey.com/anakart/msi-mag-b460m-bazooka.html
MSI B360-A Pro,1089.48,Intel B360,LGA 1151,DDR4,2666 MHz,52,https://www.epey.com/anakart/msi-b360-a-pro.html
MSI B450M Gaming Plus,1207.9,AMD B450,AM4,DDR4,3466 MHz,51,https://www.epey.com/anakart/msi-b450m-gaming-plus.html
MSI B460M Pro-VDH,900.47,Intel B460,LGA 1200,DDR4,2933 MHz,51,https://www.epey.com/anakart/msi-b460m-pro-vdh.html
Asus Prime H510M-A WiFi,1032.5,Intel H510,LGA 1200,DDR4,3200 MHz,51,https://www.epey.com/anakart/asus-prime-h510m-a-wifi.html
Asus B450M Dragon,519.0,AMD B450,AM4,DDR4,4400 MHz,51,https://www.epey.com/anakart/asus-b450m-dragon.html
Gigabyte B450M H,441.6,AMD B450,AM4,DDR4,3600 MHz,51,https://www.epey.com/anakart/gigabyte-b450m-h.html
MSI B450M-A Pro Max,446.0,AMD B450,AM4,DDR4,4133 MHz,51,https://www.epey.com/anakart/msi-b450m-a-pro-max.html
Gigabyte A520M S2H,383.04,AMD A520,AM4,DDR4,5000 MHz,51,https://www.epey.com/anakart/gigabyte-a520m-s2h.html
Huananzhi X79 Dual-8D,2135.25,Intel X79,LGA 2011-3,DDR3,1866 MHz,51,https://www.epey.com/anakart/huananzhi-x79-dual-8d.html
Gigabyte A520M H,499.0,AMD A520,AM4,DDR4,5000 MHz,50,https://www.epey.com/anakart/gigabyte-a520m-h.html
ASRock H410M-ITX/ac,1313.96,Intel H410,LGA 1200,DDR4,2933 MHz,50,https://www.epey.com/anakart/asrock-h410m-itx-ac.html
Gigabyte B450M Gaming,585.59,AMD B450,AM4,DDR4,3200 MHz,50,https://www.epey.com/anakart/gigabyte-b450m-gaming.html
MSI B350M Gaming Pro,755.52,AMD B350,AM4,DDR4,3200 MHz,50,https://www.epey.com/anakart/msi-b350m-gaming-pro.html
MSI B450M PRO-M2 V2,977.76,AMD B450,AM4,DDR4,3466 MHz,50,https://www.epey.com/anakart/msi-b450m-pro-m2-v2.html
MSI B450M Pro-M2,575.04,AMD B450,AM4,DDR4,3466 MHz,50,https://www.epey.com/anakart/msi-b450m-pro-m2.html
MSI H510I Pro WiFi,1508.64,Intel H510,LGA 1200,DDR4,3200 MHz,50,https://www.epey.com/anakart/msi-h510i-pro-wifi.html
MSI H410I Pro WiFi,1142.69,Intel H410,LGA 1200,DDR4,2933 MHz,50,https://www.epey.com/anakart/msi-h410i-pro-wifi.html
Asus Prime B450M-K,643.19,AMD B450,AM4,DDR4,3200 MHz,49,https://www.epey.com/anakart/asus-prime-b450m-k.html
Asus Pro Q470M-C/CSM,1747.5,Intel Q470,LGA 1200,DDR4,2933 MHz,49,https://www.epey.com/anakart/asus-pro-q470m-c-csm.html
Asus Prime B350M-E,896.85,AMD B350,AM4,DDR4,3200 MHz,49,https://www.epey.com/anakart/asus-prime-b350m-e.html
Asus TUF B360M-Plus Gaming,2218.54,Intel B360,LGA 1151,DDR4,2666 MHz,49,https://www.epey.com/anakart/asus-tuf-b360m-plus-gaming.html
Asus Prime A520M-E,476.17,AMD A520,AM4,DDR4,4600 MHz,49,https://www.epey.com/anakart/asus-prime-a520m-e.html
ASRock Q170M vPro,646.08,Intel Q170,LGA 1151,DDR4,2133 MHz,48,https://www.epey.com/anakart/asrock-q170m-vpro.html
Asus Pro A520M-C/CSM,638.39,AMD A520,AM4,DDR4,4600 MHz,48,https://www.epey.com/anakart/asus-pro-a520m-c-csm.html
Asus Pro Q570M-C/CSM,2228.67,Intel Q570,LGA 1200,DDR4,3200 MHz,48,https://www.epey.com/anakart/asus-pro-q570m-c-csm.html
ASRock A520M-HDV,589.0,AMD A520,AM4,DDR4,4733 MHz,48,https://www.epey.com/anakart/asrock-a520m-hdv.html
MSI A520M-A Pro,469.0,AMD A520,AM4,DDR4,4600 MHz,48,https://www.epey.com/anakart/msi-a520m-a-pro.html
Asus Prime A520M-K,503.5,AMD A520,AM4,DDR4,4600 MHz,48,https://www.epey.com/anakart/asus-prime-a520m-k.html
Gigabyte H410M S2 V2,863.04,Intel H410,LGA 1200,DDR4,2933 MHz,44,https://www.epey.com/anakart/gigabyte-h410m-s2-v2.html
Gigabyte H410M S2H,793.89,Intel H410,LGA 1200,DDR4,2933 MHz,44,https://www.epey.com/anakart/gigabyte-h410m-s2h.html
Biostar TB360-BTC Pro,2439.99,Intel B360,-,-,2666 MHz,44,https://www.epey.com/anakart/biostar-tb360-btc-pro.html
ASRock H410M-HDV/M.2,904.9,Intel H410,LGA 1200,DDR4,2933 MHz,43,https://www.epey.com/anakart/asrock-h410m-hdv-m-2.html
